6.43581486	0.3
5.489489926	0.31
4.691188709	0.32
4.017757405	0.33
3.44966392	0.34
2.970431359	0.35
2.566160138	0.36
2.225124838	0.37
1.937434125	0.38
1.694743862	0.39
1.4900151	0.4
1.317309917	0.41
1.171619201	0.42
1.048717361	0.43
0.94503977	0.44
0.857579381	0.45
0.783799507	0.46
0.721560247	0.47
0.669056424	0.48
0.624765224	0.49
0.587402035	0.5
0.555883178	0.51
0.529294486	0.52
0.506864786	0.53
0.487943529	0.54
0.471981927	0.55
0.458517031	0.56
0.447158308	0.57
0.437576311	0.58
0.429493126	0.59
0.422674309	0.6
0.416922088	0.61
0.412069627	0.62
0.407976186	0.63
0.404523039	0.64
0.401610032	0.65
0.399152676	0.66
0.397079698	0.67
0.395330975	0.68
0.393855786	0.69
0.392611346	0.7
0.39156156	0.71
0.390675981	0.72
0.389928925	0.73
0.389298722	0.74
0.388767095	0.75
0.388318626	0.76
0.387940305	0.77
0.387621162	0.78
0.387351938	0.79
0.387124827	0.8
0.38693324	0.81
0.386771621	0.82
0.386635282	0.83
0.38652027	0.84
0.386423248	0.85
0.386341401	0.86
0.386272358	0.87
0.386214114	0.88
0.38616498	0.89
0.386123532	0.9
0.386088567	0.91
0.386059072	0.92
0.38603419	0.93
0.3860132	0.94
0.385995493	0.95
0.385980556	0.96
0.385967956	0.97
0.385957326	0.98
0.385948359	0.99
0.385940795	1
